"Observation Time UTC" RA(deg) DEC(deg) Observatory PGW ObsInfo ZenIni ZenEnd Duration Delay
"2016-04-11 01:35:49.912469" 128.6719 19.4712 South 0.0123 True 50.0157 50.0351 10 41875
"2016-04-11 01:36:19.912469" 131.4844 24.6243 South 0.0123 True 53.4491 53.4651 10 41905
"2016-04-11 01:36:49.912469" 135.7031 31.3882 South 0.0121 True 58.3604 58.3721 10 41935
"2016-04-11 01:37:19.912469" 141.3281 40.2282 South 0.0121 True 65.6628 65.6696 10 41965
"2016-04-11 01:37:49.912469" 125.8594 14.4775 South 0.012 True 47.5062 47.5296 10 41995
"2016-04-11 01:38:19.912469" 138.5156 35.6853 South 0.012 True 61.8466 61.8559 10 42025
"2016-04-11 01:38:49.912469" 123.0469 9.5941 South 0.0112 True 45.5216 45.5487 10 42055
"2016-04-11 01:39:19.912469" 120.2344 4.7802 South 0.0101 True 44.0847 44.1151 10 42085
"2016-04-11 01:39:49.912469" 133.5938 27.9532 South 0.0086 True 56.0428 56.0571 10 42115
"2016-04-11 01:40:19.912469" 117.4219 0.0 South 0.0085 True 43.3528 43.3862 10 42145
"2016-04-11 01:40:49.912469" 114.6094 -4.7802 South 0.0068 True 43.1042 43.1398 10 42175
"2016-04-11 01:41:19.912469" 111.7969 -8.3855 South 0.005 True 43.9157 43.9526 10 42205

